Position (m),Zigzag Max Amplitude,Timoshenko Max Amplitude,RMS Difference,Max Difference,Relative RMS Error (%),Relative Max Error (%)
0.5,2.4572929898475413e-11,2.457102644431038e-11,5.590909803791026e-12,1.7624779276761345e-11,22.75231251173636,71.72437047425446
1.0,2.1102680735736212e-11,2.11027740190764e-11,2.022844081680068e-12,5.306136214845669e-12,9.585720918643737,25.144370429961644
1.5,7.188407233276493e-12,7.188434037262176e-12,8.760101696385638e-18,2.6803985683470305e-17,0.00012186429360642612,0.00037287795214758563
2.0,7.643334903053213e-100,9.570844253782596e-124,1.973500585934065e-100,7.643334903053213e-100,0.0,0.0
